id,type,availableSince
duskusdt,perpetual,2022-01-07T00:00:00.000Z
flowusdt,perpetual,2022-02-10T00:00:00.000Z
imxusdt,perpetual,2022-02-11T00:00:00.000Z
api3usdt,perpetual,2022-02-22T00:00:00.000Z
gmtusdt,perpetual,2022-03-15T00:00:00.000Z
apeusdt,perpetual,2022-03-17T00:00:00.000Z
bnxusdt,perpetual,2022-04-01T00:00:00.000Z
woousdt,perpetual,2022-04-08T00:00:00.000Z
jasmyusdt,perpetual,2022-04-20T00:00:00.000Z
darusdt,perpetual,2022-04-29T00:00:00.000Z
opusdt,perpetual,2022-06-01T00:00:00.000Z
injusdt,perpetual,2022-08-17T00:00:00.000Z
stgusdt,perpetual,2022-08-25T00:00:00.000Z
spellusdt,perpetual,2022-09-06T00:00:00.000Z
1000luncusdt,perpetual,2022-09-09T00:00:00.000Z
luna2usdt,perpetual,2022-09-10T00:00:00.000Z
ldousdt,perpetual,2022-09-22T00:00:00.000Z
aptusdt,perpetual,2022-10-19T00:00:00.000Z
qntusdt,perpetual,2022-10-20T00:00:00.000Z
fetusdt,perpetual,2023-01-17T00:00:00.000Z
fxsusdt,perpetual,2023-01-20T00:00:00.000Z
hookusdt,perpetual,2023-01-23T00:00:00.000Z
magicusdt,perpetual,2023-01-25T00:00:00.000Z
tusdt,perpetual,2023-02-01T00:00:00.000Z
minausdt,perpetual,2023-02-06T00:00:00.000Z
highusdt,perpetual,2023-02-07T00:00:00.000Z
astrusdt,perpetual,2023-02-14T00:00:00.000Z
phbusdt,perpetual,2023-02-16T00:00:00.000Z
gmxusdt,perpetual,2023-02-17T00:00:00.000Z
cfxusdt,perpetual,2023-02-20T00:00:00.000Z
stxusdt,perpetual,2023-02-21T00:00:00.000Z
achusdt,perpetual,2023-02-22T00:00:00.000Z
ssvusdt,perpetual,2023-02-24T00:00:00.000Z
ckbusdt,perpetual,2023-02-28T00:00:00.000Z
perpusdt,perpetual,2023-03-06T00:00:00.000Z
truusdt,perpetual,2023-03-07T00:00:00.000Z
lqtyusdt,perpetual,2023-03-10T00:00:00.000Z
usdcusdt,perpetual,2023-03-12T00:00:00.000Z
idusdt,perpetual,2023-03-23T00:00:00.000Z
arbusdt,perpetual,2023-03-23T00:00:00.000Z
joeusdt,perpetual,2023-03-29T00:00:00.000Z
ambusdt,perpetual,2023-03-30T00:00:00.000Z
leverusdt,perpetual,2023-03-30T00:00:00.000Z
rdntusdt,perpetual,2023-04-05T00:00:00.000Z
hftusdt,perpetual,2023-04-06T00:00:00.000Z
xvsusdt,perpetual,2023-04-13T00:00:00.000Z
ethbtc,perpetual,2023-04-26T00:00:00.000Z
blurusdt,perpetual,2023-04-28T00:00:00.000Z
eduusdt,perpetual,2023-04-30T00:00:00.000Z
suiusdt,perpetual,2023-05-03T00:00:00.000Z
1000pepeusdt,perpetual,2023-05-05T00:00:00.000Z
1000flokiusdt,perpetual,2023-05-06T00:00:00.000Z
umausdt,perpetual,2023-05-10T00:00:00.000Z
keyusdt,perpetual,2023-05-24T00:00:00.000Z
combousdt,perpetual,2023-06-02T00:00:00.000Z
nmrusdt,perpetual,2023-06-22T00:00:00.000Z
mavusdt,perpetual,2023-06-29T00:00:00.000Z
xvgusdt,perpetual,2023-07-05T00:00:00.000Z
wldusdt,perpetual,2023-07-24T00:00:00.000Z
pendleusdt,perpetual,2023-07-28T00:00:00.000Z
arkmusdt,perpetual,2023-07-28T00:00:00.000Z
agldusdt,perpetual,2023-07-29T00:00:00.000Z
yggusdt,perpetual,2023-08-05T00:00:00.000Z
dodoxusdt,perpetual,2023-08-08T00:00:00.000Z
bntusdt,perpetual,2023-08-10T00:00:00.000Z
oxtusdt,perpetual,2023-08-11T00:00:00.000Z
seiusdt,perpetual,2023-08-17T00:00:00.000Z
cyberusdt,perpetual,2023-08-21T00:00:00.000Z
hifiusdt,perpetual,2023-09-16T00:00:00.000Z
arkusdt,perpetual,2023-09-19T00:00:00.000Z
bicousdt,perpetual,2023-09-28T00:00:00.000Z
loomusdt,perpetual,2023-10-11T00:00:00.000Z
bigtimeusdt,perpetual,2023-10-12T00:00:00.000Z
bondusdt,perpetual,2023-10-15T00:00:00.000Z
orbsusdt,perpetual,2023-10-17T00:00:00.000Z
waxpusdt,perpetual,2023-10-18T00:00:00.000Z
bsvusdt,perpetual,2023-10-20T00:00:00.000Z
rifusdt,perpetual,2023-10-21T00:00:00.000Z
polyxusdt,perpetual,2023-10-25T00:00:00.000Z
gasusdt,perpetual,2023-10-25T00:00:00.000Z
powrusdt,perpetual,2023-10-27T00:00:00.000Z
tiausdt,perpetual,2023-10-31T00:00:00.000Z
cakeusdt,perpetual,2023-11-02T00:00:00.000Z
memeusdt,perpetual,2023-11-03T00:00:00.000Z
twtusdt,perpetual,2023-11-03T00:00:00.000Z
tokenusdt,perpetual,2023-11-03T00:00:00.000Z
ordiusdt,perpetual,2023-11-07T00:00:00.000Z
steemusdt,perpetual,2023-11-08T00:00:00.000Z
badgerusdt,perpetual,2023-11-09T00:00:00.000Z
ilvusdt,perpetual,2023-11-10T00:00:00.000Z
ntrnusdt,perpetual,2023-11-14T00:00:00.000Z
kasusdt,perpetual,2023-11-17T00:00:00.000Z
beamxusdt,perpetual,2023-11-17T00:00:00.000Z
1000bonkusdt,perpetual,2023-11-22T00:00:00.000Z
pythusdt,perpetual,2023-11-22T00:00:00.000Z
superusdt,perpetual,2023-11-26T00:00:00.000Z
ustcusdt,perpetual,2023-11-27T00:00:00.000Z
ongusdt,perpetual,2023-11-27T00:00:00.000Z
ethwusdt,perpetual,2023-11-28T00:00:00.000Z
jtousdt,perpetual,2023-12-08T00:00:00.000Z
1000satsusdt,perpetual,2023-12-12T00:00:00.000Z
auctionusdt,perpetual,2023-12-15T00:00:00.000Z
1000ratsusdt,perpetual,2023-12-15T00:00:00.000Z
aceusdt,perpetual,2023-12-18T00:00:00.000Z
movrusdt,perpetual,2023-12-26T00:00:00.000Z
nfpusdt,perpetual,2023-12-27T00:00:00.000Z
btcusdc,perpetual,2024-01-04T00:00:00.000Z
ethusdc,perpetual,2024-01-04T00:00:00.000Z
bnbusdc,perpetual,2024-01-04T00:00:00.000Z
solusdc,perpetual,2024-01-04T00:00:00.000Z
xrpusdc,perpetual,2024-01-04T00:00:00.000Z
aiusdt,perpetual,2024-01-08T00:00:00.000Z
xaiusdt,perpetual,2024-01-09T00:00:00.000Z
dogeusdc,perpetual,2024-01-18T00:00:00.000Z
mantausdt,perpetual,2024-01-18T00:00:00.000Z
wifusdt,perpetual,2024-01-18T00:00:00.000Z
ondousdt,perpetual,2024-01-20T00:00:00.000Z
altusdt,perpetual,2024-01-25T00:00:00.000Z
lskusdt,perpetual,2024-01-25T00:00:00.000Z
jupusdt,perpetual,2024-01-31T00:00:00.000Z
zetausdt,perpetual,2024-02-02T00:00:00.000Z
roninusdt,perpetual,2024-02-06T00:00:00.000Z
dymusdt,perpetual,2024-02-07T00:00:00.000Z
suiusdc,perpetual,2024-02-08T00:00:00.000Z
omusdt,perpetual,2024-02-13T00:00:00.000Z
linkusdc,perpetual,2024-02-16T00:00:00.000Z
pixelusdt,perpetual,2024-02-19T00:00:00.000Z
strkusdt,perpetual,2024-02-20T00:00:00.000Z
maviausdt,perpetual,2024-02-21T00:00:00.000Z
ordiusdc,perpetual,2024-02-22T00:00:00.000Z
glmusdt,perpetual,2024-02-22T00:00:00.000Z
portalusdt,perpetual,2024-02-29T00:00:00.000Z
tonusdt,perpetual,2024-03-01T00:00:00.000Z
axlusdt,perpetual,2024-03-01T00:00:00.000Z
myrousdt,perpetual,2024-03-05T00:00:00.000Z
1000pepeusdc,perpetual,2024-03-07T00:00:00.000Z
metisusdt,perpetual,2024-03-12T00:00:00.000Z
aevousdt,perpetual,2024-03-13T00:00:00.000Z
vanryusdt,perpetual,2024-03-13T00:00:00.000Z
wldusdc,perpetual,2024-03-14T00:00:00.000Z
bomeusdt,perpetual,2024-03-16T00:00:00.000Z
ethfiusdt,perpetual,2024-03-18T00:00:00.000Z
avaxusdc,perpetual,2024-03-20T00:00:00.000Z
1000shibusdc,perpetual,2024-03-28T00:00:00.000Z
enausdt,perpetual,2024-04-02T00:00:00.000Z
wusdt,perpetual,2024-04-03T00:00:00.000Z
bchusdc,perpetual,2024-04-04T00:00:00.000Z
wifusdc,perpetual,2024-04-04T00:00:00.000Z
tnsrusdt,perpetual,2024-04-08T00:00:00.000Z
sagausdt,perpetual,2024-04-09T00:00:00.000Z
ltcusdc,perpetual,2024-04-11T00:00:00.000Z
nearusdc,perpetual,2024-04-11T00:00:00.000Z
taousdt,perpetual,2024-04-11T00:00:00.000Z
omniusdt,perpetual,2024-04-17T00:00:00.000Z
arbusdc,perpetual,2024-04-18T00:00:00.000Z
neousdc,perpetual,2024-04-18T00:00:00.000Z
filusdc,perpetual,2024-04-18T00:00:00.000Z
bomeusdc,perpetual,2024-04-25T00:00:00.000Z
tiausdc,perpetual,2024-04-25T00:00:00.000Z
rezusdt,perpetual,2024-04-30T00:00:00.000Z
enausdc,perpetual,2024-05-02T00:00:00.000Z
ethfiusdc,perpetual,2024-05-02T00:00:00.000Z
1000bonkusdc,perpetual,2024-05-02T00:00:00.000Z
bbusdt,perpetual,2024-05-13T00:00:00.000Z
notusdt,perpetual,2024-05-16T00:00:00.000Z
turbousdt,perpetual,2024-05-30T00:00:00.000Z
iousdt,perpetual,2024-06-11T00:00:00.000Z
zkusdt,perpetual,2024-06-17T00:00:00.000Z
mewusdt,perpetual,2024-06-17T00:00:00.000Z
listausdt,perpetual,2024-06-20T00:00:00.000Z
zrousdt,perpetual,2024-06-20T00:00:00.000Z
crvusdc,perpetual,2024-07-04T00:00:00.000Z
renderusdt,perpetual,2024-07-26T00:00:00.000Z
bananausdt,perpetual,2024-08-15T00:00:00.000Z
gusdt,perpetual,2024-08-15T00:00:00.000Z
rareusdt,perpetual,2024-08-15T00:00:00.000Z
synusdt,perpetual,2024-08-16T00:00:00.000Z
sysusdt,perpetual,2024-08-19T00:00:00.000Z
voxelusdt,perpetual,2024-08-20T00:00:00.000Z
brettusdt,perpetual,2024-08-20T00:00:00.000Z
alpacausdt,perpetual,2024-08-22T00:00:00.000Z
popcatusdt,perpetual,2024-08-22T00:00:00.000Z
sunusdt,perpetual,2024-08-22T00:00:00.000Z
vidtusdt,perpetual,2024-08-23T00:00:00.000Z
nulsusdt,perpetual,2024-08-26T00:00:00.000Z
dogsusdt,perpetual,2024-08-26T00:00:00.000Z
mboxusdt,perpetual,2024-08-28T00:00:00.000Z
chessusdt,perpetual,2024-08-29T00:00:00.000Z
fluxusdt,perpetual,2024-09-03T00:00:00.000Z
bswusdt,perpetual,2024-09-05T00:00:00.000Z
quickusdt,perpetual,2024-09-06T00:00:00.000Z
neiroethusdt,perpetual,2024-09-06T00:00:00.000Z
rplusdt,perpetual,2024-09-09T00:00:00.000Z
aergousdt,perpetual,2024-09-10T00:00:00.000Z
polusdt,perpetual,2024-09-13T00:00:00.000Z
uxlinkusdt,perpetual,2024-09-15T00:00:00.000Z
neirousdt,perpetual,2024-09-16T00:00:00.000Z
1mbabydogeusdt,perpetual,2024-09-16T00:00:00.000Z
kdausdt,perpetual,2024-09-18T00:00:00.000Z
fidausdt,perpetual,2024-09-19T00:00:00.000Z
fiousdt,perpetual,2024-09-20T00:00:00.000Z
catiusdt,perpetual,2024-09-20T00:00:00.000Z
ghstusdt,perpetual,2024-09-23T00:00:00.000Z
lokausdt,perpetual,2024-09-24T00:00:00.000Z
hmstrusdt,perpetual,2024-09-26T00:00:00.000Z
reiusdt,perpetual,2024-09-27T00:00:00.000Z
cosusdt,perpetual,2024-09-30T00:00:00.000Z
eigenusdt,perpetual,2024-10-01T00:00:00.000Z
diausdt,perpetual,2024-10-02T00:00:00.000Z
1000catusdt,perpetual,2024-10-21T00:00:00.000Z
scrusdt,perpetual,2024-10-22T00:00:00.000Z
goatusdt,perpetual,2024-10-24T00:00:00.000Z
moodengusdt,perpetual,2024-10-25T00:00:00.000Z
safeusdt,perpetual,2024-10-25T00:00:00.000Z
santosusdt,perpetual,2024-10-28T00:00:00.000Z
troyusdt,perpetual,2024-10-31T00:00:00.000Z
ponkeusdt,perpetual,2024-11-04T00:00:00.000Z
cowusdt,perpetual,2024-11-06T00:00:00.000Z
cetususdt,perpetual,2024-11-06T00:00:00.000Z
1000000mogusdt,perpetual,2024-11-07T00:00:00.000Z
grassusdt,perpetual,2024-11-08T00:00:00.000Z
driftusdt,perpetual,2024-11-08T00:00:00.000Z
swellusdt,perpetual,2024-11-08T00:00:00.000Z
actusdt,perpetual,2024-11-11T00:00:00.000Z
pnutusdt,perpetual,2024-11-11T00:00:00.000Z
btcusdt_241227,future,2024-06-28T00:00:00.000Z
ethusdt_241227,future,2024-06-28T00:00:00.000Z
btcusdt_250328,future,2024-09-27T00:00:00.000Z
ethusdt_250328,future,2024-09-27T00:00:00.000Z
unfiusdt,perpetual,2021-02-19T00:00:00.000Z
klayusdt,perpetual,2021-10-12T00:00:00.000Z
maticusdt,perpetual,2020-10-22T00:00:00.000Z
maticusdc,perpetual,2024-04-25T00:00:00.000Z
frontusdt,perpetual,2023-09-22T00:00:00.000Z
rndrusdt,perpetual,2023-02-03T00:00:00.000Z
galusdt,perpetual,2022-05-05T00:00:00.000Z
oceanusdt,perpetual,2020-11-04T00:00:00.000Z
agixusdt,perpetual,2023-02-16T00:00:00.000Z
wavesusdt,perpetual,2020-08-12T00:00:00.000Z
audiousdt,perpetual,2021-08-19T00:00:00.000Z
mdtusdt,perpetual,2023-06-30T00:00:00.000Z
idexusdt,perpetual,2023-05-03T00:00:00.000Z
glmrusdt,perpetual,2023-09-26T00:00:00.000Z
slpusdt,perpetual,2023-10-31T00:00:00.000Z
cvxusdt,perpetual,2022-09-22T00:00:00.000Z
radusdt,perpetual,2023-05-10T00:00:00.000Z
stptusdt,perpetual,2023-10-18T00:00:00.000Z
sntusdt,perpetual,2023-11-02T00:00:00.000Z
mblusdt,perpetual,2023-11-14T00:00:00.000Z
ctkusdt,perpetual,2020-11-19T00:00:00.000Z
dgbusdt,perpetual,2021-04-21T00:00:00.000Z
antusdt,perpetual,2021-12-27T00:00:00.000Z
footballusdt,perpetual,2022-09-01T00:00:00.000Z
bluebirdusdt,perpetual,2022-11-02T00:00:00.000Z
straxusdt,perpetual,2023-10-11T00:00:00.000Z
btcbusd,perpetual,2021-01-12T00:00:00.000Z
ethbusd,perpetual,2021-06-16T00:00:00.000Z
bnbbusd,perpetual,2021-07-28T00:00:00.000Z
xrpbusd,perpetual,2021-08-09T00:00:00.000Z
tomousdt,perpetual,2020-10-12T00:00:00.000Z
solbusd,perpetual,2021-09-03T00:00:00.000Z
dogebusd,perpetual,2021-08-18T00:00:00.000Z
ltcbusd,perpetual,2022-07-07T00:00:00.000Z
adabusd,perpetual,2021-08-02T00:00:00.000Z
maticbusd,perpetual,2022-07-13T00:00:00.000Z
dodobusd,perpetual,2022-05-25T00:00:00.000Z
trxbusd,perpetual,2022-05-26T00:00:00.000Z
ftmbusd,perpetual,2022-05-24T00:00:00.000Z
aptbusd,perpetual,2022-10-25T00:00:00.000Z
galabusd,perpetual,2022-05-26T00:00:00.000Z
ldobusd,perpetual,2022-07-28T00:00:00.000Z
agixbusd,perpetual,2023-01-19T00:00:00.000Z
1000luncbusd,perpetual,2022-05-31T00:00:00.000Z
1000shibbusd,perpetual,2022-07-20T00:00:00.000Z
cocosusdt,perpetual,2023-02-21T00:00:00.000Z
linkbusd,perpetual,2022-06-30T00:00:00.000Z
apebusd,perpetual,2022-05-19T00:00:00.000Z
dotbusd,perpetual,2022-06-08T00:00:00.000Z
filbusd,perpetual,2022-07-20T00:00:00.000Z
etcbusd,perpetual,2022-07-28T00:00:00.000Z
avaxbusd,perpetual,2022-05-13T00:00:00.000Z
nearbusd,perpetual,2022-05-17T00:00:00.000Z
gmtbusd,perpetual,2022-05-18T00:00:00.000Z
sandbusd,perpetual,2022-07-07T00:00:00.000Z
unibusd,perpetual,2022-08-05T00:00:00.000Z
phbbusd,perpetual,2022-09-16T00:00:00.000Z
tlmbusd,perpetual,2022-06-09T00:00:00.000Z
leverbusd,perpetual,2022-07-20T00:00:00.000Z
ambbusd,perpetual,2022-09-14T00:00:00.000Z
luna2busd,perpetual,2022-06-01T00:00:00.000Z
icpbusd,perpetual,2022-06-09T00:00:00.000Z
hntusdt,perpetual,2020-09-28T00:00:00.000Z
galbusd,perpetual,2022-05-24T00:00:00.000Z
wavesbusd,perpetual,2022-06-29T00:00:00.000Z
cvxbusd,perpetual,2022-07-13T00:00:00.000Z
ancbusd,perpetual,2022-05-25T00:00:00.000Z
auctionbusd,perpetual,2022-08-05T00:00:00.000Z
cvcusdt,perpetual,2020-11-12T00:00:00.000Z
srmusdt,perpetual,2020-09-05T00:00:00.000Z
rayusdt,perpetual,2021-08-20T00:00:00.000Z
fttbusd,perpetual,2021-09-08T00:00:00.000Z
fttusdt,perpetual,2022-04-15T00:00:00.000Z
btsusdt,perpetual,2021-02-01T00:00:00.000Z
scusdt,perpetual,2021-04-12T00:00:00.000Z
akrousdt,perpetual,2021-01-19T00:00:00.000Z
dodousdt,perpetual,2021-02-19T00:00:00.000Z
ancusdt,perpetual,2022-03-08T00:00:00.000Z
lunabusd,perpetual,2022-05-12T00:00:00.000Z
lunausdt,perpetual,2021-01-28T00:00:00.000Z
yfiiusdt,perpetual,2020-09-03T00:00:00.000Z
1000bttcusdt,perpetual,2022-01-26T00:00:00.000Z
keepusdt,perpetual,2021-06-22T00:00:00.000Z
nuusdt,perpetual,2021-10-21T00:00:00.000Z
bttusdt,perpetual,2021-04-06T00:00:00.000Z
bzrxusdt,perpetual,2020-09-05T00:00:00.000Z
btcstusdt,perpetual,2021-03-04T00:00:00.000Z
dotecousdt,perpetual,2021-01-20T00:00:00.000Z
lendusdt,perpetual,2020-07-23T00:00:00.000Z
btcusdt_240927,future,2024-03-29T00:00:00.000Z
ethusdt_240927,future,2024-03-29T00:00:00.000Z
btcusdt_240628,future,2023-12-29T00:00:00.000Z
ethusdt_240628,future,2023-12-29T00:00:00.000Z
btcusdt_240329,future,2023-09-29T00:00:00.000Z
ethusdt_240329,future,2023-09-29T00:00:00.000Z
btcusdt_231229,future,2023-08-18T00:00:00.000Z
ethusdt_231229,future,2023-08-18T00:00:00.000Z
btcusdt_230929,future,2023-06-25T00:00:00.000Z
ethusdt_230929,future,2023-06-25T00:00:00.000Z
btcusdt_230630,future,2023-03-27T00:00:00.000Z
ethusdt_230630,future,2023-03-27T00:00:00.000Z
btcusdt_230331,future,2022-12-23T00:00:00.000Z
ethusdt_230331,future,2022-12-23T00:00:00.000Z
btcusdt_221230,future,2022-09-23T00:00:00.000Z
ethusdt_221230,future,2022-09-23T00:00:00.000Z
btcusdt_220930,future,2022-06-20T00:00:00.000Z
ethusdt_220930,future,2022-06-20T00:00:00.000Z
btcusdt_220624,future,2022-03-22T00:00:00.000Z
ethusdt_220624,future,2022-03-22T00:00:00.000Z
btcusdt_220325,future,2021-12-24T00:00:00.000Z
ethusdt_220325,future,2021-12-24T00:00:00.000Z
btcusdt_211231,future,2021-09-22T00:00:00.000Z
ethusdt_211231,future,2021-09-22T00:00:00.000Z
btcusdt_210924,future,2021-06-18T00:00:00.000Z
ethusdt_210924,future,2021-06-21T00:00:00.000Z
btcusdt_210625,future,2021-03-16T00:00:00.000Z
ethusdt_210625,future,2021-03-16T00:00:00.000Z
btcusdt_210326,future,2021-02-03T00:00:00.000Z
ethusdt_210326,future,2021-02-04T00:00:00.000Z
btcbusd_210129,future,2021-01-05T00:00:00.000Z
btcbusd_210226,future,2021-01-05T00:00:00.000Z
